job_title,job_skills
mobile_developer,react_native java_programming ios_development
machine_learning_engineer,tensorflow rest_api data_pipelines git
embedded_systems_engineer,debugging linux_kernel c_programming microcontrollers
rf_engineer,testing_equipment antenna_design signal_processing
junior_data_engineer,cloud_computing git linux airflow data_pipelines sql python_programming
junior_data_analyst,tableau excel sql reporting
it_support_specialist,active_directory customer_support software_installation windows_os ticketing_systems
devops_engineer,docker gcp ci_cd aws git
junior_hardware_engineer,multimeter component_selection circuit_design oscilloscope schematic_capture
devops_engineer,cloud_computing git gcp ci_cd ansible azure shell_scripting
backend_developer,microservices api_design authentication
ui_ux_designer,prototyping information_architecture user_research usability_testing
cloud_support_engineer,networking troubleshooting docker
data_engineer,kafka linux airflow git sql python_programming docker
technical_support_engineer,linux python_programming customer_support networking_basics
firmware_engineer,rtos hardware_interfacing firmware_development c_plus_plus embedded_systems
junior_data_scientist,data_visualization machine_learning data_analysis jupyter_notebook numpy sql
data_scientist,numpy machine_learning python_programming
firmware_engineer,microcontrollers firmware_development debugging embedded_systems rtos c_programming
mobile_developer,swift kotlin flutter ios_development git
full_stack_developer,docker linux python_programming git typescript sql
data_analyst,sql reporting r_programming google_analytics data_modeling data_visualization
junior_devops_engineer,cloud_computing monitoring linux networking_basics shell_scripting
technical_support_engineer,linux documentation customer_support ticketing_systems api_testing scripting networking_basics
software_engineer,ci_cd docker algorithms python_programming
embedded_systems_engineer,uart_spi_i2c rtos c_plus_plus microcontrollers c_programming debugging
junior_embedded_engineer,microcontrollers c_programming oscilloscope uart_spi_i2c rtos_basics hardware_interfacing
junior_hardware_engineer,soldering multimeter oscilloscope circuit_design
technical_support_engineer,api_testing sql troubleshooting python_programming scripting customer_support
junior_software_engineer,basic_algorithms java_programming object_oriented_programming
junior_data_analyst,tableau sql reporting
bi_developer,business_intelligence excel data_warehousing etl sql data_modeling
release_engineer,docker version_control git kubernetes ci_cd jenkins linux
junior_devops_engineer,docker networking_basics cloud_computing monitoring shell_scripting linux ci_cd
release_engineer,git linux build_automation docker version_control kubernetes shell_scripting
junior_data_analyst,data_cleaning google_analytics tableau sql data_visualization python_programming
junior_qa_engineer,sql agile_methodology basic_automation regression_testing
junior_data_scientist,statistics numpy data_analysis jupyter_notebook python_programming
cybersecurity_analyst,encryption firewalls network_security
fpga_engineer,simulation_tools fpga hardware_debugging
junior_devops_engineer,git cloud_computing linux networking_basics shell_scripting
junior_data_scientist,jupyter_notebook python_programming statistics data_visualization sql data_analysis
junior_devops_engineer,linux networking_basics shell_scripting monitoring
site_reliability_engineer,linux ci_cd incident_management
junior_data_engineer,cloud_computing sql linux data_pipelines nosql python_programming
software_engineer,code_review unit_testing html_css sql
frontend_developer,react webpack sass javascript typescript rest_api
software_engineer,typescript sql ci_cd object_oriented_programming html_css react
junior_embedded_engineer,uart_spi_i2c oscilloscope rtos_basics hardware_interfacing debugging c_programming
ui_ux_designer,prototyping figma wireframing usability_testing html_css adobe_xd
technical_support_engineer,troubleshooting customer_support sql scripting api_testing documentation
it_support_specialist,software_installation troubleshooting active_directory windows_os customer_support
full_stack_developer,docker typescript python_programming git rest_api javascript
it_support_specialist,windows_os ticketing_systems hardware_maintenance active_directory documentation
full_stack_developer,html_css typescript git
qa_engineer,regression_testing bug_reporting postman pytest test_planning agile_methodology
junior_embedded_engineer,c_programming microcontrollers debugging rtos_basics uart_spi_i2c hardware_interfacing oscilloscope
test_engineer,hardware_testing documentation manual_testing python_programming automated_testing test_planning oscilloscope
junior_hardware_engineer,schematic_capture oscilloscope multimeter soldering pcb_design circuit_design
fpga_engineer,digital_design c_programming fpga signal_processing verilog hardware_debugging
mobile_developer,react_native git flutter rest_api ios_development debugging app_store_deployment
site_reliability_engineer,python_programming ci_cd networking incident_management monitoring
scrum_master,team_facilitation retrospectives sprint_planning kanban
cloud_support_engineer,linux troubleshooting docker aws customer_support
mobile_developer,git java_programming android_development mobile_ui_design
systems_administrator,networking monitoring security_practices patch_management
embedded_systems_engineer,linux_kernel uart_spi_i2c pcb_design microcontrollers oscilloscope
junior_data_analyst,google_analytics data_visualization sql excel statistics reporting
junior_mobile_developer,rest_api react_native java_programming mobile_ui_design git swift
machine_learning_engineer,python_programming machine_learning sql
rf_engineer,signal_processing antenna_design wireless_communication matlab pcb_design oscilloscope c_programming
hardware_engineer,fpga schematic_capture eagle_cad pcb_design multimeter oscilloscope altium_designer
fpga_engineer,c_programming digital_design signal_processing vhdl timing_analysis simulation_tools debugging
software_engineer,data_structures code_review react html_css linux unit_testing
junior_data_engineer,git python_programming sql nosql etl linux
machine_learning_engineer,tensorflow model_deployment sql git data_pipelines deep_learning
cloud_support_engineer,troubleshooting docker monitoring customer_support
database_administrator,oracle database_security sql
junior_mobile_developer,rest_api react_native java_programming mobile_ui_design kotlin swift debugging
systems_administrator,active_directory shell_scripting docker linux virtualization patch_management security_practices
frontend_developer,sass accessibility typescript git angular vue_js html_css
it_support_specialist,hardware_maintenance windows_os software_installation
junior_qa_engineer,test_planning sql regression_testing manual_testing postman agile_methodology
ui_ux_designer,information_architecture adobe_xd design_systems user_research
firmware_engineer,assembly_language microcontrollers embedded_systems c_plus_plus firmware_development debugging rtos
junior_software_engineer,javascript object_oriented_programming unit_testing sql debugging react html_css
data_analyst,power_bi data_modeling data_cleaning google_analytics tableau r_programming python_programming
junior_qa_engineer,postman manual_testing bug_reporting
security_engineer,penetration_testing python_programming secure_coding vulnerability_assessment network_security firewalls
fpga_engineer,debugging timing_analysis fpga c_programming digital_design vhdl simulation_tools
junior_mobile_developer,java_programming kotlin git
junior_network_engineer,routing_switching network_monitoring cisco troubleshooting dns
embedded_systems_engineer,assembly_language c_plus_plus linux_kernel firmware_development pcb_design oscilloscope
full_stack_developer,html_css node_js nosql rest_api react python_programming
technical_writer,content_management api_documentation user_research
junior_data_scientist,pandas data_visualization machine_learning python_programming git
data_engineer,airflow data_pipelines apache_spark etl nosql kafka linux
junior_network_engineer,networking dhcp cisco tcp_ip dns troubleshooting
junior_data_scientist,machine_learning pandas jupyter_notebook numpy data_visualization git data_analysis
junior_embedded_engineer,hardware_interfacing microcontrollers c_programming debugging rtos_basics
data_analyst,data_cleaning r_programming business_intelligence python_programming statistics excel tableau
data_engineer,cloud_computing airflow data_warehousing data_pipelines
bi_developer,reporting python_programming business_intelligence excel sql data_modeling etl
junior_mobile_developer,git swift rest_api
mobile_developer,rest_api app_store_deployment android_development git
technical_writer,diagramming documentation api_documentation git markdown html_css
bi_developer,tableau python_programming reporting etl data_warehousing sql
full_stack_developer,rest_api nosql ci_cd typescript react node_js javascript
hardware_engineer,hardware_debugging fpga altium_designer
frontend_developer,vue_js ui_ux_basics git cross_browser_compatibility responsive_design react rest_api
junior_network_engineer,cisco networking dhcp
junior_data_analyst,python_programming tableau excel data_cleaning
junior_software_engineer,agile_methodology html_css object_oriented_programming basic_algorithms javascript git
site_reliability_engineer,kubernetes monitoring linux ci_cd python_programming performance_tuning alerting
full_stack_developer,javascript typescript linux python_programming
security_engineer,firewalls python_programming encryption secure_coding linux network_security penetration_testing
junior_devops_engineer,docker linux aws cloud_computing
hardware_engineer,oscilloscope pcb_design schematic_capture
bi_developer,python_programming power_bi tableau etl data_modeling reporting data_warehousing
junior_devops_engineer,git docker shell_scripting networking_basics
cloud_support_engineer,azure docker networking
qa_engineer,sql agile_methodology git bug_reporting
firmware_engineer,microcontrollers version_control hardware_interfacing c_programming firmware_development rtos assembly_language
machine_learning_engineer,mlops machine_learning sql
junior_qa_engineer,basic_automation manual_testing bug_reporting test_planning sql
bi_developer,tableau power_bi data_warehousing python_programming
frontend_developer,react rest_api ui_ux_basics javascript
junior_qa_engineer,test_planning basic_automation postman manual_testing
cloud_support_engineer,linux networking docker
data_analyst,tableau python_programming data_cleaning power_bi sql
frontend_developer,cross_browser_compatibility figma angular html_css rest_api
database_administrator,replication performance_tuning oracle backup_recovery
junior_mobile_developer,debugging git react_native rest_api java_programming
data_scientist,jupyter_notebook scikit_learn statistics data_analysis
network_engineer,network_monitoring security_practices networking dhcp linux routing_switching troubleshooting
network_engineer,dhcp cisco troubleshooting vpn load_balancing
it_support_specialist,linux remote_desktop customer_support software_installation windows_os
junior_data_analyst,excel reporting google_analytics data_visualization
mobile_developer,java_programming swift react_native
cybersecurity_analyst,siem python_programming compliance risk_assessment incident_response vulnerability_assessment
rf_engineer,simulation_tools pcb_design c_programming wireless_communication signal_processing
ui_ux_designer,prototyping user_research information_architecture
junior_data_analyst,statistics google_analytics data_cleaning sql data_visualization
firmware_engineer,c_plus_plus microcontrollers debugging assembly_language c_programming rtos
cloud_engineer,infrastructure_as_code security_practices gcp linux kubernetes networking terraform
rf_engineer,simulation_tools oscilloscope spectrum_analyzer
junior_data_analyst,reporting excel python_programming tableau google_analytics data_visualization
mobile_developer,swift mobile_ui_design git app_store_deployment
embedded_systems_engineer,c_plus_plus firmware_development linux_kernel uart_spi_i2c
security_engineer,penetration_testing vulnerability_assessment encryption
junior_software_engineer,object_oriented_programming html_css python_programming unit_testing
machine_learning_engineer,python_programming model_deployment linux machine_learning tensorflow feature_engineering
full_stack_developer,git nosql python_programming docker
technical_writer,communication documentation api_documentation user_research diagramming git
backend_developer,python_programming linux node_js microservices
mobile_developer,react_native java_programming swift git android_development
software_engineer,sql algorithms react docker javascript debugging
firmware_engineer,assembly_language c_programming version_control embedded_systems rtos hardware_interfacing
bi_developer,data_warehousing sql tableau
data_engineer,data_pipelines airflow apache_spark
junior_software_engineer,unit_testing sql object_oriented_programming basic_algorithms react debugging
backend_developer,rest_api authentication node_js java_programming message_queues linux git
junior_software_engineer,basic_algorithms debugging unit_testing git data_structures
ui_ux_designer,information_architecture accessibility html_css design_systems sketch prototyping wireframing
data_engineer,docker sql kafka etl cloud_computing scala data_warehousing
junior_software_engineer,sql object_oriented_programming data_structures basic_algorithms debugging python_programming
full_stack_developer,react sql nosql docker javascript linux
junior_hardware_engineer,pcb_design altium_designer circuit_design multimeter schematic_capture
technical_support_engineer,scripting documentation customer_support networking_basics
devops_engineer,azure ansible git shell_scripting
junior_mobile_developer,mobile_ui_design react_native rest_api git
security_engineer,secure_coding firewalls encryption linux network_security
full_stack_developer,typescript react nosql python_programming
test_engineer,oscilloscope manual_testing python_programming bug_reporting test_planning documentation
rf_engineer,testing_equipment simulation_tools spectrum_analyzer
junior_embedded_engineer,microcontrollers oscilloscope rtos_basics c_programming uart_spi_i2c debugging
junior_data_analyst,reporting excel statistics tableau google_analytics data_visualization sql
mobile_developer,flutter react_native java_programming kotlin swift
site_reliability_engineer,shell_scripting alerting networking
database_administrator,mysql linux database_design sql database_security
data_scientist,natural_language_processing data_visualization sql python_programming tensorflow data_analysis pytorch
firmware_engineer,microcontrollers firmware_development debugging assembly_language hardware_interfacing embedded_systems
systems_administrator,linux windows_server docker patch_management active_directory backup_recovery shell_scripting
hardware_engineer,oscilloscope soldering altium_designer
security_engineer,network_security encryption vulnerability_assessment secure_coding siem
junior_embedded_engineer,c_programming oscilloscope rtos_basics hardware_interfacing debugging microcontrollers
rf_engineer,antenna_design oscilloscope pcb_design
junior_hardware_engineer,component_selection circuit_design soldering multimeter schematic_capture pcb_design oscilloscope
junior_embedded_engineer,c_programming hardware_interfacing debugging
qa_engineer,bug_reporting agile_methodology selenium test_planning
machine_learning_engineer,model_deployment data_pipelines mlops feature_engineering git deep_learning docker
fpga_engineer,fpga verilog timing_analysis vhdl hardware_debugging c_programming
junior_hardware_engineer,multimeter circuit_design pcb_design component_selection
technical_support_engineer,networking_basics python_programming troubleshooting sql
junior_devops_engineer,linux ci_cd networking_basics git aws
ui_ux_designer,sketch adobe_xd wireframing prototyping user_research information_architecture design_systems
it_support_specialist,documentation customer_support troubleshooting active_directory software_installation networking_basics
systems_administrator,security_practices backup_recovery patch_management virtualization
technical_writer,communication markdown html_css content_management documentation git
full_stack_developer,linux nosql html_css docker node_js react rest_api
site_reliability_engineer,monitoring incident_management alerting shell_scripting kubernetes
frontend_developer,ui_ux_basics angular webpack
technical_writer,api_documentation user_research communication html_css
full_stack_developer,git ci_cd sql javascript python_programming
firmware_engineer,hardware_interfacing c_programming microcontrollers
test_engineer,regression_testing manual_testing documentation hardware_testing oscilloscope bug_reporting automated_testing
release_engineer,shell_scripting linux git build_automation ci_cd jenkins version_control
junior_qa_engineer,bug_reporting test_planning sql manual_testing agile_methodology basic_automation
junior_software_engineer,unit_testing python_programming java_programming react data_structures debugging object_oriented_programming
rf_engineer,signal_processing antenna_design testing_equipment matlab c_programming wireless_communication simulation_tools
database_administrator,replication backup_recovery performance_tuning indexing linux
junior_qa_engineer,sql manual_testing postman agile_methodology test_planning regression_testing
scrum_master,conflict_resolution stakeholder_communication agile_methodology retrospectives scrum jira kanban
hardware_engineer,oscilloscope circuit_design soldering altium_designer
junior_embedded_engineer,uart_spi_i2c hardware_interfacing debugging oscilloscope rtos_basics c_programming
frontend_developer,sass figma react ui_ux_basics angular
security_engineer,penetration_testing vulnerability_assessment secure_coding siem firewalls linux network_security
backend_developer,java_programming linux caching message_queues ci_cd microservices
data_scientist,pytorch jupyter_notebook data_analysis deep_learning
bi_developer,tableau excel data_warehousing business_intelligence sql python_programming
rf_engineer,c_programming spectrum_analyzer oscilloscope antenna_design testing_equipment pcb_design wireless_communication
bi_developer,sql tableau data_modeling python_programming etl excel
junior_mobile_developer,mobile_ui_design git kotlin rest_api
technical_support_engineer,scripting customer_support networking_basics troubleshooting linux python_programming
fpga_engineer,fpga debugging c_programming hardware_debugging digital_design
mobile_developer,kotlin react_native app_store_deployment rest_api java_programming android_development
qa_engineer,automated_testing git sql test_planning
test_engineer,manual_testing regression_testing automated_testing
junior_data_scientist,data_visualization numpy git pandas python_programming sql
release_engineer,ci_cd docker kubernetes version_control
data_analyst,reporting statistics python_programming business_intelligence data_visualization power_bi r_programming
technical_writer,content_management documentation html_css
release_engineer,git jenkins linux shell_scripting docker ci_cd
data_engineer,cloud_computing python_programming linux nosql
junior_data_scientist,data_analysis sql git
bi_developer,python_programming tableau data_modeling
junior_data_scientist,python_programming jupyter_notebook git data_analysis machine_learning data_visualization sql
junior_hardware_engineer,oscilloscope component_selection altium_designer multimeter schematic_capture pcb_design
junior_network_engineer,routing_switching cisco troubleshooting networking network_monitoring dhcp dns
machine_learning_engineer,mlops model_deployment machine_learning
frontend_developer,javascript webpack vue_js react accessibility typescript rest_api
database_administrator,linux oracle postgresql sql
technical_writer,communication git diagramming
qa_engineer,agile_methodology regression_testing api_testing postman pytest performance_testing git
embedded_systems_engineer,linux_kernel rtos microcontrollers c_programming
data_engineer,kafka airflow linux cloud_computing scala etl nosql
bi_developer,sql reporting data_warehousing tableau
software_engineer,ci_cd data_structures typescript html_css agile_methodology unit_testing
junior_qa_engineer,postman basic_automation regression_testing test_planning manual_testing agile_methodology sql
database_administrator,database_security mysql linux oracle replication performance_tuning postgresql
junior_data_analyst,data_cleaning statistics google_analytics sql
database_administrator,backup_recovery replication database_design
technical_support_engineer,linux ticketing_systems sql python_programming scripting networking_basics
systems_administrator,backup_recovery linux active_directory
data_analyst,business_intelligence data_cleaning google_analytics data_modeling sql tableau
hardware_engineer,fpga signal_processing pcb_design circuit_design
cloud_support_engineer,monitoring ticketing_systems azure customer_support
software_engineer,ci_cd data_structures typescript linux javascript debugging
security_engineer,secure_coding encryption network_security penetration_testing firewalls linux
cloud_support_engineer,monitoring customer_support aws
qa_engineer,performance_testing sql selenium test_planning postman git
junior_data_analyst,excel python_programming tableau reporting sql data_cleaning google_analytics
technical_writer,markdown documentation content_management user_research html_css api_documentation communication
full_stack_developer,typescript node_js ci_cd html_css linux
database_administrator,database_design oracle replication mysql database_security sql
security_engineer,encryption linux penetration_testing
security_engineer,linux firewalls penetration_testing network_security
qa_engineer,manual_testing regression_testing bug_reporting pytest selenium postman test_planning
full_stack_developer,html_css ci_cd docker python_programming git typescript node_js
junior_embedded_engineer,rtos_basics oscilloscope microcontrollers debugging c_programming
junior_qa_engineer,bug_reporting sql manual_testing
firmware_engineer,version_control hardware_interfacing c_plus_plus
security_engineer,siem python_programming firewalls
it_support_specialist,software_installation active_directory documentation customer_support linux
junior_mobile_developer,kotlin rest_api git debugging
junior_devops_engineer,cloud_computing docker git linux
rf_engineer,simulation_tools wireless_communication c_programming antenna_design matlab
network_engineer,security_practices load_balancing tcp_ip cisco networking dns
ui_ux_designer,accessibility wireframing html_css figma design_systems sketch
data_engineer,docker nosql scala python_programming linux data_warehousing
junior_data_engineer,linux sql airflow etl data_pipelines
firmware_engineer,c_plus_plus embedded_systems c_programming firmware_development assembly_language
qa_engineer,automated_testing regression_testing git
junior_network_engineer,cisco dhcp network_monitoring routing_switching
it_support_specialist,hardware_maintenance active_directory troubleshooting
hardware_engineer,signal_processing oscilloscope hardware_debugging pcb_design
ui_ux_designer,information_architecture sketch accessibility usability_testing html_css adobe_xd
technical_writer,content_management api_documentation communication diagramming git user_research markdown
backend_developer,message_queues nosql rest_api caching
scrum_master,sprint_planning conflict_resolution kanban jira team_facilitation
backend_developer,ci_cd java_programming authentication
it_support_specialist,networking_basics remote_desktop hardware_maintenance windows_os software_installation
technical_writer,documentation diagramming html_css user_research api_documentation git
software_engineer,html_css unit_testing ci_cd javascript code_review docker linux
ui_ux_designer,information_architecture adobe_xd accessibility user_research wireframing usability_testing sketch
it_support_specialist,active_directory troubleshooting software_installation linux ticketing_systems windows_os
security_engineer,penetration_testing firewalls network_security
frontend_developer,typescript cross_browser_compatibility accessibility figma
full_stack_developer,typescript html_css docker rest_api
mobile_developer,swift java_programming git rest_api debugging android_development
site_reliability_engineer,on_call_management shell_scripting docker kubernetes
junior_qa_engineer,postman bug_reporting agile_methodology test_planning sql manual_testing basic_automation
junior_data_scientist,git numpy data_visualization sql
junior_data_engineer,git linux nosql etl data_pipelines airflow sql
cloud_engineer,ci_cd kubernetes gcp azure linux
devops_engineer,terraform git shell_scripting
data_scientist,machine_learning feature_engineering pandas r_programming
junior_mobile_developer,git java_programming mobile_ui_design kotlin debugging react_native rest_api
junior_data_scientist,data_analysis numpy python_programming git
devops_engineer,monitoring terraform security_practices ansible aws cloud_computing
junior_hardware_engineer,circuit_design soldering oscilloscope multimeter component_selection schematic_capture
machine_learning_engineer,mlops data_pipelines sql feature_engineering rest_api
data_scientist,statistics machine_learning jupyter_notebook deep_learning
technical_support_engineer,networking_basics documentation python_programming
database_administrator,backup_recovery indexing stored_procedures oracle replication database_design linux
technical_support_engineer,customer_support troubleshooting sql documentation
test_engineer,hardware_testing test_planning oscilloscope automated_testing bug_reporting regression_testing
devops_engineer,ansible shell_scripting linux
cloud_engineer,aws security_practices terraform infrastructure_as_code docker ci_cd
software_engineer,docker react object_oriented_programming
embedded_systems_engineer,firmware_development uart_spi_i2c debugging linux_kernel assembly_language oscilloscope pcb_design
technical_writer,git content_management communication diagramming
systems_administrator,patch_management backup_recovery linux
backend_developer,node_js message_queues authentication ci_cd
cybersecurity_analyst,risk_assessment siem incident_response python_programming vulnerability_assessment network_security
junior_embedded_engineer,rtos_basics c_programming hardware_interfacing microcontrollers debugging
software_engineer,ci_cd java_programming object_oriented_programming git rest_api python_programming
frontend_developer,ui_ux_basics rest_api html_css responsive_design accessibility
junior_hardware_engineer,pcb_design schematic_capture oscilloscope soldering circuit_design
security_engineer,linux python_programming secure_coding encryption
junior_data_scientist,data_visualization jupyter_notebook data_analysis sql python_programming git statistics
rf_engineer,simulation_tools c_programming matlab testing_equipment signal_processing spectrum_analyzer pcb_design
scrum_master,stakeholder_communication scrum jira agile_methodology
machine_learning_engineer,linux feature_engineering tensorflow docker machine_learning rest_api
junior_data_engineer,python_programming linux nosql data_pipelines
it_support_specialist,documentation windows_os software_installation networking_basics ticketing_systems linux remote_desktop
devops_engineer,gcp shell_scripting security_practices kubernetes git linux
database_administrator,stored_procedures database_design performance_tuning database_security replication backup_recovery oracle
junior_network_engineer,tcp_ip cisco dns network_monitoring routing_switching
cloud_support_engineer,azure customer_support linux aws troubleshooting ticketing_systems networking
cybersecurity_analyst,firewalls network_security siem encryption python_programming ethical_hacking
junior_qa_engineer,test_planning bug_reporting regression_testing manual_testing
junior_data_scientist,sql data_analysis python_programming pandas numpy statistics machine_learning
it_support_specialist,software_installation active_directory ticketing_systems
junior_data_scientist,sql statistics pandas data_analysis numpy git jupyter_notebook
mobile_developer,mobile_ui_design ios_development git rest_api swift
release_engineer,version_control linux docker
cloud_support_engineer,networking aws customer_support azure
mobile_developer,react_native java_programming debugging rest_api
junior_devops_engineer,shell_scripting networking_basics monitoring cloud_computing
cloud_support_engineer,docker monitoring azure networking
security_engineer,secure_coding network_security linux firewalls vulnerability_assessment
embedded_systems_engineer,assembly_language pcb_design rtos c_plus_plus debugging
junior_data_engineer,data_pipelines git linux etl
release_engineer,docker shell_scripting linux
junior_hardware_engineer,component_selection circuit_design pcb_design soldering multimeter
junior_hardware_engineer,circuit_design soldering altium_designer oscilloscope
data_engineer,git sql kafka docker etl data_warehousing
network_engineer,firewalls tcp_ip security_practices network_monitoring
junior_software_engineer,git javascript unit_testing agile_methodology
test_engineer,bug_reporting automated_testing hardware_testing python_programming oscilloscope regression_testing
ui_ux_designer,user_research adobe_xd accessibility
network_engineer,tcp_ip security_practices dns load_balancing firewalls networking
data_analyst,data_visualization tableau excel power_bi r_programming
test_engineer,oscilloscope regression_testing automated_testing bug_reporting python_programming documentation
data_scientist,git data_analysis pandas
mobile_developer,swift rest_api app_store_deployment flutter ios_development mobile_ui_design react_native
junior_hardware_engineer,circuit_design schematic_capture multimeter soldering component_selection
data_engineer,docker kafka airflow nosql cloud_computing git
junior_devops_engineer,shell_scripting docker git ci_cd monitoring linux cloud_computing
software_engineer,code_review sql java_programming ci_cd react
scrum_master,team_facilitation retrospectives conflict_resolution agile_methodology sprint_planning kanban jira
test_engineer,hardware_testing oscilloscope documentation test_planning
data_analyst,power_bi excel statistics
hardware_engineer,eagle_cad hardware_debugging component_selection oscilloscope
data_scientist,pytorch numpy deep_learning tensorflow jupyter_notebook natural_language_processing git
network_engineer,load_balancing security_practices dns tcp_ip
network_engineer,networking firewalls load_balancing security_practices linux
devops_engineer,azure aws security_practices kubernetes shell_scripting git
site_reliability_engineer,monitoring kubernetes ci_cd
junior_embedded_engineer,microcontrollers debugging uart_spi_i2c
junior_qa_engineer,basic_automation manual_testing agile_methodology bug_reporting sql test_planning regression_testing
firmware_engineer,c_programming version_control embedded_systems microcontrollers assembly_language
full_stack_developer,rest_api python_programming linux
cloud_engineer,aws linux kubernetes azure networking infrastructure_as_code docker
data_scientist,deep_learning scikit_learn feature_engineering sql git data_analysis
software_engineer,typescript code_review agile_methodology html_css ci_cd
backend_developer,node_js ci_cd git python_programming linux
data_engineer,linux git kafka etl
systems_administrator,networking security_practices backup_recovery
rf_engineer,oscilloscope wireless_communication antenna_design spectrum_analyzer pcb_design matlab signal_processing
ui_ux_designer,information_architecture adobe_xd sketch figma
junior_embedded_engineer,hardware_interfacing rtos_basics oscilloscope
junior_network_engineer,troubleshooting dns network_monitoring
systems_administrator,shell_scripting active_directory backup_recovery docker networking monitoring
technical_support_engineer,sql api_testing customer_support networking_basics
machine_learning_engineer,rest_api tensorflow model_deployment
qa_engineer,automated_testing agile_methodology postman performance_testing api_testing
junior_software_engineer,react python_programming html_css basic_algorithms object_oriented_programming data_structures java_programming
qa_engineer,api_testing performance_testing agile_methodology selenium regression_testing
junior_data_scientist,git data_analysis machine_learning numpy sql statistics pandas
network_engineer,network_monitoring linux troubleshooting security_practices cisco
junior_hardware_engineer,soldering multimeter circuit_design oscilloscope
scrum_master,conflict_resolution kanban stakeholder_communication sprint_planning agile_methodology retrospectives jira
embedded_systems_engineer,firmware_development pcb_design linux_kernel assembly_language hardware_interfacing
cloud_engineer,docker infrastructure_as_code linux
software_engineer,agile_methodology java_programming javascript unit_testing docker algorithms python_programming
technical_writer,markdown content_management communication git html_css api_documentation user_research
firmware_engineer,hardware_interfacing version_control c_plus_plus microcontrollers rtos
database_administrator,database_design replication linux oracle
junior_data_analyst,sql data_cleaning reporting google_analytics tableau excel
data_scientist,python_programming data_analysis deep_learning
network_engineer,network_monitoring troubleshooting tcp_ip firewalls networking
junior_qa_engineer,agile_methodology test_planning regression_testing basic_automation manual_testing bug_reporting
junior_data_scientist,numpy data_visualization git data_analysis pandas statistics
junior_qa_engineer,test_planning postman manual_testing
test_engineer,oscilloscope automated_testing documentation bug_reporting
